Iteration	Trial	Iterations	Success
10	0	10	True
12	1	2	True
20	2	8	True
24	3	4	True
27	4	3	True
30	5	3	True
33	6	3	True
36	7	3	True
39	8	3	True
44	9	5	True
47	10	3	True
49	11	2	True
52	12	3	True
57	13	5	True
60	14	3	True
64	15	4	True
69	16	5	True
73	17	4	True
77	18	4	True
80	19	3	True
85	20	5	True
88	21	3	True
90	22	2	True
95	23	5	True
98	24	3	True
101	25	3	True
105	26	4	True
108	27	3	True
114	28	6	True
118	29	4	True
121	30	3	True
124	31	3	True
127	32	3	True
131	33	4	True
139	34	8	True
142	35	3	True
145	36	3	True
151	37	6	True
156	38	5	True
160	39	4	True
162	40	2	True
165	41	3	True
169	42	4	True
172	43	3	True
175	44	3	True
179	45	4	True
182	46	3	True
185	47	3	True
187	48	2	True
190	49	3	True
193	50	3	True
196	51	3	True
199	52	3	True
202	53	3	True
204	54	2	True
207	55	3	True
212	56	5	True
215	57	3	True
218	58	3	True
221	59	3	True
224	60	3	True
227	61	3	True
230	62	3	True
235	63	5	True
238	64	3	True
241	65	3	True
244	66	3	True
247	67	3	True
250	68	3	True
253	69	3	True
256	70	3	True
259	71	3	True
261	72	2	True
265	73	4	True
268	74	3	True
271	75	3	True
274	76	3	True
278	77	4	True
281	78	3	True
286	79	5	True
289	80	3	True
296	81	7	True
298	82	2	True
301	83	3	True
304	84	3	True
307	85	3	True
310	86	3	True
313	87	3	True
316	88	3	True
318	89	2	True
322	90	4	True
325	91	3	True
328	92	3	True
331	93	3	True
334	94	3	True
338	95	4	True
342	96	4	True
346	97	4	True
349	98	3	True
352	99	3	True
354	100	2	True
358	101	4	True
363	102	5	True
368	103	5	True
372	104	4	True
375	105	3	True
381	106	6	True
384	107	3	True
389	108	5	True
392	109	3	True
395	110	3	True
399	111	4	True
402	112	3	True
405	113	3	True
408	114	3	True
411	115	3	True
414	116	3	True
417	117	3	True
420	118	3	True
423	119	3	True
427	120	4	True
429	121	2	True
432	122	3	True
440	123	8	True
444	124	4	True
446	125	2	True
448	126	2	True
451	127	3	True
454	128	3	True
457	129	3	True
460	130	3	True
463	131	3	True
465	132	2	True
469	133	4	True
472	134	3	True
476	135	4	True
478	136	2	True
483	137	5	True
485	138	2	True
487	139	2	True
490	140	3	True
493	141	3	True
496	142	3	True
501	143	5	True
504	144	3	True
507	145	3	True
510	146	3	True
513	147	3	True
516	148	3	True
523	149	7	True
529	150	6	True
532	151	3	True
536	152	4	True
539	153	3	True
542	154	3	True
545	155	3	True
549	156	4	True
553	157	4	True
556	158	3	True
558	159	2	True
561	160	3	True
565	161	4	True
571	162	6	True
574	163	3	True
578	164	4	True
580	165	2	True
585	166	5	True
588	167	3	True
593	168	5	True
596	169	3	True
599	170	3	True
604	171	5	True
607	172	3	True
610	173	3	True
612	174	2	True
614	175	2	True
616	176	2	True
619	177	3	True
624	178	5	True
627	179	3	True
630	180	3	True
633	181	3	True
636	182	3	True
639	183	3	True
642	184	3	True
648	185	6	True
651	186	3	True
654	187	3	True
659	188	5	True
663	189	4	True
667	190	4	True
670	191	3	True
676	192	6	True
681	193	5	True
683	194	2	True
687	195	4	True
690	196	3	True
694	197	4	True
697	198	3	True
699	199	2	True
703	200	4	True
706	201	3	True
708	202	2	True
715	203	7	True
719	204	4	True
724	205	5	True
726	206	2	True
729	207	3	True
735	208	6	True
738	209	3	True
743	210	5	True
746	211	3	True
752	212	6	True
754	213	2	True
757	214	3	True
760	215	3	True
762	216	2	True
768	217	6	True
773	218	5	True
776	219	3	True
782	220	6	True
784	221	2	True
786	222	2	True
788	223	2	True
790	224	2	True
793	225	3	True
798	226	5	True
801	227	3	True
805	228	4	True
808	229	3	True
811	230	3	True
814	231	3	True
816	232	2	True
819	233	3	True
822	234	3	True
827	235	5	True
831	236	4	True
834	237	3	True
837	238	3	True
840	239	3	True
843	240	3	True
847	241	4	True
849	242	2	True
852	243	3	True
856	244	4	True
861	245	5	True
864	246	3	True
867	247	3	True
869	248	2	True
871	249	2	True
873	250	2	True
877	251	4	True
880	252	3	True
883	253	3	True
886	254	3	True
889	255	3	True
894	256	5	True
896	257	2	True
901	258	5	True
904	259	3	True
907	260	3	True
914	261	7	True
916	262	2	True
919	263	3	True
922	264	3	True
925	265	3	True
928	266	3	True
933	267	5	True
938	268	5	True
942	269	4	True
944	270	2	True
950	271	6	True
953	272	3	True
956	273	3	True
959	274	3	True
961	275	2	True
967	276	6	True
970	277	3	True
974	278	4	True
981	279	7	True
985	280	4	True
988	281	3	True
990	282	2	True
993	283	3	True
999	284	6	True
1002	285	3	True
1005	286	3	True
1009	287	4	True
1012	288	3	True
1015	289	3	True
1019	290	4	True
1022	291	3	True
1025	292	3	True
1031	293	6	True
1034	294	3	True
1036	295	2	True
1040	296	4	True
1043	297	3	True
1046	298	3	True
1049	299	3	True
1053	300	4	True
1056	301	3	True
1062	302	6	True
1065	303	3	True
1068	304	3	True
1073	305	5	True
1076	306	3	True
1079	307	3	True
1086	308	7	True
1089	309	3	True
1092	310	3	True
1095	311	3	True
1100	312	5	True
1103	313	3	True
1106	314	3	True
1109	315	3	True
1113	316	4	True
1119	317	6	True
1122	318	3	True
1126	319	4	True
1130	320	4	True
1133	321	3	True
1136	322	3	True
1139	323	3	True
1142	324	3	True
1145	325	3	True
1149	326	4	True
1152	327	3	True
1155	328	3	True
1158	329	3	True
1162	330	4	True
1164	331	2	True
1167	332	3	True
1169	333	2	True
1172	334	3	True
1174	335	2	True
1177	336	3	True
1180	337	3	True
1183	338	3	True
1186	339	3	True
1189	340	3	True
1195	341	6	True
1198	342	3	True
1202	343	4	True
1205	344	3	True
1212	345	7	True
1215	346	3	True
1218	347	3	True
1221	348	3	True
1223	349	2	True
1225	350	2	True
1228	351	3	True
1233	352	5	True
1237	353	4	True
1241	354	4	True
1246	355	5	True
1249	356	3	True
1252	357	3	True
1255	358	3	True
1261	359	6	True
1264	360	3	True
1267	361	3	True
1273	362	6	True
1276	363	3	True
1278	364	2	True
1281	365	3	True
1284	366	3	True
1287	367	3	True
1290	368	3	True
1293	369	3	True
1297	370	4	True
1300	371	3	True
1304	372	4	True
1307	373	3	True
1311	374	4	True
1313	375	2	True
1316	376	3	True
1321	377	5	True
1326	378	5	True
1328	379	2	True
1331	380	3	True
1334	381	3	True
1336	382	2	True
1342	383	6	True
1347	384	5	True
1351	385	4	True
1356	386	5	True
1359	387	3	True
1363	388	4	True
1369	389	6	True
1373	390	4	True
1376	391	3	True
1378	392	2	True
1380	393	2	True
1383	394	3	True
